"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"185.162.228.117","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.189","545.000","0.383","99.990"
"185.162.228.118","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.292","644.000","0.327","99.991"
"185.162.228.119","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.179","1050.000","0.200","99.990"
"185.162.228.12","80","http","anonymous","2024-11-25 11:50:08","true","true","true","true","true","","DK","0.384","514.000","0.406","99.986"
"185.162.228.120","80","http","anonymous","2024-11-25 11:50:16","true","true","true","true","true","","DK","0.078","2153.000","0.099","99.991"
"185.162.228.121","80","http","anonymous","2024-11-25 11:50:09","true","true","true","true","true","","DK","0.145","1223.000","0.171","99.991"
"185.162.228.122","80","http","anonymous","2024-11-25 11:50:13","true","true","true","true","true","","DK","0.039","3442.000","0.061","99.991"
"185.162.228.123","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.014","4837.000","0.044","99.989"
"185.162.228.124","80","http","anonymous","2024-11-25 11:50:13","true","true","true","true","true","","DK","0.051","3215.000","0.065","99.991"
"185.162.228.125","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.091","1842.000","0.115","99.993"
"185.162.228.126","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.193","936.000","0.222","99.988"
"185.162.228.127","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.054","2506.000","0.083","99.992"
"185.162.228.128","80","http","anonymous","2024-11-25 11:50:16","true","true","true","true","true","","DK","0.184","308.000","0.680","99.990"
"185.162.228.129","80","http","anonymous","2024-11-25 11:50:07","true","true","true","true","true","","DK","0.071","2058.000","0.102","99.988"
"185.162.228.13","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.042","3333.000","0.063","99.991"
"185.162.228.130","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.087","1866.000","0.105","99.993"
"185.162.228.131","80","http","anonymous","2024-11-25 11:50:10","true","true","true","true","true","","DK","0.044","2800.000","0.075","99.991"
"185.162.228.132","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.130","1316.000","0.158","99.990"
"185.162.228.133","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.228","735.000","0.285","99.987"
"185.162.228.134","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.155","813.000","0.258","99.989"
"185.162.228.135","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.253","767.000","0.275","99.986"
"185.162.228.136","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.040","1129.000","0.185","99.990"
"185.162.228.137","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.102","1713.000","0.122","99.992"
"185.162.228.138","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","DK","0.204","722.000","0.288","99.990"
"185.162.228.139","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.297","649.000","0.325","99.986"
"185.162.228.14","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.120","1259.000","0.166","99.991"
"185.162.228.140","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.056","2658.000","0.080","99.986"
"185.162.228.141","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.079","2009.000","0.105","99.989"
"185.162.228.142","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.067","2413.000","0.088","99.991"
"185.162.228.143","80","http","anonymous","2024-11-25 11:50:10","true","true","true","true","true","","DK","0.111","1536.000","0.136","99.988"
"185.162.228.144","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.144","1215.000","0.173","99.991"
"185.162.228.145","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","DK","0.142","1314.000","0.160","99.990"
"185.162.228.146","80","http","anonymous","2024-11-25 11:50:10","true","true","true","true","true","","DK","0.118","1496.000","0.141","99.989"
"185.162.228.147","80","http","anonymous","2024-11-25 11:50:21","true","true","true","true","true","","DK","0.030","2888.000","0.073","99.990"
"185.162.228.148","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.178","760.000","0.276","99.991"
"185.162.228.149","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.343","563.000","0.373","99.987"
"185.162.228.15","80","http","anonymous","2024-11-25 11:50:09","true","true","true","true","true","","DK","0.028","4644.000","0.046","99.989"
"185.162.228.150","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.453","440.000","0.474","99.986"
"185.162.228.151","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.067","2375.000","0.088","99.992"
"185.162.228.152","80","http","anonymous","2024-11-25 11:50:19","true","true","true","true","true","","DK","0.267","724.000","0.291","99.989"
"185.162.228.153","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.222","860.000","0.244","99.991"
"185.162.228.154","80","http","anonymous","2024-11-25 11:50:09","true","true","true","true","true","","DK","0.177","813.000","0.257","99.989"
"185.162.228.155","80","http","anonymous","2024-11-25 11:50:18","true","true","true","true","true","","DK","0.229","836.000","0.250","99.989"
"185.162.228.156","80","http","anonymous","2024-11-25 11:50:10","true","true","true","true","true","","DK","0.025","3684.000","0.057","99.991"
"185.162.228.157","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.112","1627.000","0.129","99.990"
"185.162.228.158","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.189","904.000","0.231","99.987"
"185.162.228.159","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.117","1492.000","0.141","99.992"
"185.162.228.16","80","http","anonymous","2024-11-25 11:50:11","true","true","true","true","true","","DK","0.009","5500.000","0.039","99.990"
"185.162.228.160","80","http","anonymous","2024-11-25 11:50:12","true","true","true","true","true","","DK","0.253","753.000","0.277","99.988"
"185.162.228.161","80","http","anonymous","2024-11-25 11:50:16","true","true","true","true","true","","DK","0.089","1875.000","0.112","99.991"
"185.162.228.162","80","http","anonymous","2024-11-25 11:50:06","true","true","true","true","true","","DK","0.071","2247.000","0.094","99.992"
"185.162.228.163","80","http","anonymous","2024-11-25 11:50:14","true","true","true","true","true","","DK","0.296","650.000","0.321","99.990"
"185.162.228.164","80","http","anonymous","2024-11-25 11:50:16","true","true","true","true","true","","DK","0.154","1228.000","0.172","99.993"
"185.162.228.165","80","http","anonymous","2024-11-25 11:50:15","true","true","true","true","true","","DK","0.069","990.000","0.211","99.987"
"185.162.228.166","80","http","anonymous","2024-11-25 11:50:20","true","true","true","true","true","","DK","0.026","3200.000","0.066","99.990"
